05-03 21:35 INFO     [*] Waiting for a DHCP Packets...
05-03 21:36 INFO     [*] Got new DHCP REQUEST from: 08:00:27:2a:d9:5a xid: 0xa3a2e308
05-03 21:36 INFO     Host ubuntu-VirtualBox (08:00:27:2a:d9:5a) requested None
05-03 21:36 INFO     [*] Got new DHCP ACKNOLEDGMENT from: 08:00:27:b6:e2:c5 xid: 0xa3a2e308
05-03 21:36 INFO     DHCP Server 192.168.94.2 (08:00:27:b6:e2:c5) offered 192.168.94.5
05-03 21:36 INFO     DHCP Options: subnet_mask: 255.255.255.0, lease_time: 600, router: None, name_server: None, domain: None
05-03 21:36 INFO     [*] Got new DHCP REQUEST from: 08:00:27:2a:d9:5a xid: 0xa12b1d69
05-03 21:36 INFO     Host ubuntu-VirtualBox (08:00:27:2a:d9:5a) requested None
05-03 21:36 INFO     [*] Got new DHCP ACKNOLEDGMENT from: 08:00:27:b6:e2:c5 xid: 0xa12b1d69
05-03 21:36 INFO     DHCP Server 192.168.94.2 (08:00:27:b6:e2:c5) offered 192.168.94.5
05-03 21:36 INFO     DHCP Options: subnet_mask: 255.255.255.0, lease_time: 600, router: None, name_server: None, domain: None
05-03 21:36 INFO     [*] Got new DHCP REQUEST from: 08:00:27:2a:d9:5a xid: 0xcb9be3b
05-03 21:36 INFO     Host ubuntu-VirtualBox (08:00:27:2a:d9:5a) requested None
05-03 21:36 INFO     [*] Got new DHCP ACKNOLEDGMENT from: 08:00:27:b6:e2:c5 xid: 0xcb9be3b
05-03 21:36 INFO     DHCP Server 192.168.94.2 (08:00:27:b6:e2:c5) offered 192.168.94.5
05-03 21:36 INFO     DHCP Options: subnet_mask: 255.255.255.0, lease_time: 600, router: None, name_server: None, domain: None
05-03 21:36 INFO     [*] Got new DHCP REQUEST from: 08:00:27:2a:d9:5a xid: 0xc4d84d60
05-03 21:36 INFO     Host ubuntu-VirtualBox (08:00:27:2a:d9:5a) requested None
05-03 21:36 INFO     [*] Got new DHCP ACKNOLEDGMENT from: 08:00:27:b6:e2:c5 xid: 0xc4d84d60
05-03 21:36 INFO     DHCP Server 192.168.94.2 (08:00:27:b6:e2:c5) offered 192.168.94.5
05-03 21:36 INFO     DHCP Options: subnet_mask: 255.255.255.0, lease_time: 600, router: None, name_server: None, domain: None
05-03 21:36 INFO     [*] Got new DHCP REQUEST from: 08:00:27:94:cc:9b xid: 0xa974e20a
05-03 21:36 INFO     Host ubuntu-VirtualBox (08:00:27:94:cc:9b) requested None
05-03 21:36 INFO     [*] Got new DHCP ACKNOLEDGMENT from: 08:00:27:b6:e2:c5 xid: 0xa974e20a
05-03 21:36 INFO     DHCP Server 192.168.94.2 (08:00:27:b6:e2:c5) offered 192.168.94.6
05-03 21:36 INFO     DHCP Options: subnet_mask: 255.255.255.0, lease_time: 600, router: None, name_server: None, domain: None
